Name,Portfolio,Start Date,End Date,Duration,Reason for End
K. P. Anbalagan,Higher Education,06 Dec 2016,31 Oct 2020,06 Dec 2016 - 31 Oct 2020,Cabinet reshuffle
K. P. Anbalagan,Higher Education and Agriculture,31 Oct 2020,07 May 2021,31 Oct 2020 - 07 May 2021,Government term ended
Dr. V. Saroja,"Social Welfare, Nutritious Noon Meal Programme",06 Dec 2016,07 May 2021,06 Dec 2016 - 07 May 2021,Government term ended
M. C. Sampath,Industries,06 Dec 2016,07 May 2021,06 Dec 2016 - 07 May 2021,Government term ended
K. C. Karuppannan,Environment,06 Dec 2016,07 May 2021,06 Dec 2016 - 07 May 2021,Government term ended
R. Kamaraj,Food and Civil Supplies,06 Dec 2016,07 May 2021,06 Dec 2016 - 07 May 2021,Government term ended
O. S. Manian,Handlooms and Textiles,06 Dec 2016,07 May 2021,06 Dec 2016 - 07 May 2021,Government term ended
Udumalai K. Radhakrishnan,Housing and Urban Development,06 Dec 2016,07 May 2021,06 Dec 2016 - 07 May 2021,Government term ended
C. Vijayabhaskar,Health and Family Welfare,06 Dec 2016,07 May 2021,06 Dec 2016 - 07 May 2021,Government term ended
R. Doraikkannu,Agriculture,06 Dec 2016,31 Oct 2020,06 Dec 2016 - 31 Oct 2020,Death
Kadambur C. Raju,Information and Publicity,06 Dec 2016,07 May 2021,06 Dec 2016 - 07 May 2021,Government term ended
R. B. Udhayakumar,Revenue,06 Dec 2016,07 Aug 2019,06 Dec 2016 - 07 Aug 2019,Cabinet reshuffle
Vellamandi N. Natarajan,Tourism,06 Dec 2016,07 May 2021,06 Dec 2016 - 07 May 2021,Government term ended
K. C. Veeramani,Commercial Taxes,06 Dec 2016,07 May 2021,06 Dec 2016 - 07 May 2021,Government term ended
K. T. Rajenthra Bhalaji,Milk and Dairy Development,06 Dec 2016,07 May 2021,06 Dec 2016 - 07 May 2021,Government term ended
P. Benjamin,Rural Industries,16 Feb 2017,07 May 2021,16 Feb 2017 - 07 May 2021,Government term ended
Dr. Nilofer Kafeel,Labour,16 Feb 2017,30 Apr 2021,16 Feb 2017 - 30 Apr 2021,Government term ended
M. R. Vijayabhaskar,Transport,16 Feb 2017,07 May 2021,16 Feb 2017 - 07 May 2021,Government term ended
Dr. M. Manikandan,Information Technology,16 Feb 2017,07 Aug 2019,16 Feb 2017 - 07 Aug 2019,Cabinet reshuffle
V. M. Rajalakshmi,Adi Dravidar and Tribal Welfare,16 Feb 2017,07 May 2021,16 Feb 2017 - 07 May 2021,Government term ended
G. Baskaran,Khadi and Village Industries Board,16 Feb 2017,07 May 2021,16 Feb 2017 - 07 May 2021,Government term ended
S. Ramachandran,Hindu Religious and Charitable Endowments,16 Feb 2017,31 Oct 2020,16 Feb 2017 - 31 Oct 2020,Death
S. Valarmathi,Backward Classes and Minority Welfare,16 Feb 2017,07 May 2021,16 Feb 2017 - 07 May 2021,Government term ended
M. K. Stalin,"Home, Public, General Administration, All IAS Cadres, District Revenue, Elections, Special Programme (Differently-abled)",07 May 2021,30 Apr 2026,07 May 2021 - 30 Apr 2026,Government term ended
Durai Murugan,"Water Resources (Irrigation, Mines)",07 May 2021,08 May 2025,07 May 2021 - 08 May 2025,Cabinet reshuffle
Durai Murugan,Water Resources and Law,08 May 2025,30 Apr 2026,08 May 2025 - 30 Apr 2026,Government term ended
Ma. Subramanian,Health and Family Welfare,07 May 2021,30 Apr 2026,07 May 2021 - 30 Apr 2026,Government term ended
P. Sekar Babu,Hindu Religious and Charitable Endowments,07 May 2021,30 Apr 2026,07 May 2021 - 30 Apr 2026,Government term ended
Palanivel Thiagarajan,Finance,7 May 2021,10 May 2023,7 May 2021 – 10 May 2023,Cabinet reshuffle
Palanivel Thiagarajan,Information Technology and Digital Services,7 May 2021,10 May 2023,7 May 2021 – 10 May 2023,Government term ended
Anbil Mahesh Poyyamozhi,School Education,11 May 2023,5 May 2026,11 May 2023 – 5 May 2026,Government term ended
V. Senthil Balaji,"Electricity, Prohibition and Excise",07 May 2021,16 June 2023,7 May 2021 – 16 June 2023,Cabinet reshuffle
V. Senthil Balaji,"Electricity, Prohibition and Excise",28 September 2024,27 April 2025,28 September 2024 – 27 April 2025,Resignation
K. Ponmudy,Forests,07 May 2021,27 Apr 2025,07 May 2021 - 27 Apr 2025,Resignation
K. N. Nehru,Municipal Administration,07 May 2021,30 Apr 2026,07 May 2021 - 30 Apr 2026,Government term ended
I. Periyasamy,Co-operation,07 May 2021,30 Apr 2026,07 May 2021 - 30 Apr 2026,Government term ended
E. V. Velu,Public Works,07 May 2021,30 Apr 2026,07 May 2021 - 30 Apr 2026,Government term ended
M. R. K. Panneerselvam,Agriculture and Farmers' Welfare,07 May 2021,30 Apr 2026,07 May 2021 - 30 Apr 2026,Government term ended
K. K. S. S. R. Ramachandran,Revenue,07 May 2021,30 Apr 2026,07 May 2021 - 30 Apr 2026,Government term ended
Thangam Thennarasu,Industries,07 May 2021,10 May 2023,7 May 2021 – 10 May 2023,Cabinet reshuffle
Thangam Thennarasu,Electricity,16 June 2023,28 September 2024,16 June 2023 – 28 September 2024,Cabinet reshuffle
Thangam Thennarasu,"Finance, Human Resources Management",11 May 2023,30 Apr 2026,11 May 2023 – 5 May 2026,Government term ended
S. Regupathy,Law,07 May 2021,08 May 2025,07 May 2021 - 08 May 2025,Cabinet reshuffle
S. Regupathy,Minerals and Natural Resources,08 May 2025,30 Apr 2026,08 May 2025 - 30 Apr 2026,Government term ended
K. R. Periakaruppan,Rural Development,07 May 2021,30 Apr 2026,07 May 2021 - 30 Apr 2026,Government term ended
T. M. Anbarasan,Rural Industries,07 May 2021,30 Apr 2026,07 May 2021 - 30 Apr 2026,Government term ended
M. P. Saminathan,Information and Publicity,07 May 2021,30 Apr 2026,07 May 2021 - 30 Apr 2026,Government term ended
P. Geetha Jeevan,Social Welfare and Women Empowerment,07 May 2021,30 Apr 2026,07 May 2021 - 30 Apr 2026,Government term ended
S. Muthusamy,Housing,07 May 2021,5 May 2026,07 May 2021 - 5 May 2026,Government term ended
S. Muthusamy,Prohibition & Excise,16 June 2023,28 September 2024,16 June 2023 – 28 September 2024,Cabinet reshuffle
Anita R. Radhakrishnan,Fisheries,07 May 2021,30 Apr 2026,07 May 2021 - 30 Apr 2026,Government term ended
S. R. Rajakannappan,Transport,07 May 2021,27 Apr 2025,07 May 2021 - 27 Apr 2025,Cabinet reshuffle
S. R. Rajakannappan,Forests,27 Apr 2025,30 Apr 2026,27 Apr 2025 - 30 Apr 2026,Government term ended
C. V. Ganesan,Labour Welfare,07 May 2021,30 Apr 2026,07 May 2021 - 30 Apr 2026,Government term ended
T. Mano Thangaraj,Information Technology,07 May 2021,10 May 2023,07 May 2021 - 10 May 2023,Cabinet reshuffle
T. Mano Thangaraj,Milk and Dairy Development,11 May 2023,28 September 2024,11 May 2023 – 28 September 2024,Cabinet reshuffle
T. Mano Thangaraj,Milk and Dairy Development,28 April 2025,5 May 2026,28 April 2025 – 5 May 2026,Government term ended
M. Mathiventhan,Tourism,7 May 2021,14 December 2022,7 May 2021 – 14 December 2022,Cabinet reshuffle
M. Mathiventhan,Forests,14 December 2022,28 September 2024,14 December 2022 – 28 September 2024,Cabinet reshuffle
M. Mathiventhan,Adi Dravidar and Tribal Welfare,28 September 2024,5 May 2026,28 September 2024 – 5 May 2026,Government term ended
N. Kayalvizhi,Adidravidar Welfare,07 May 2021,28 September 2024,7 May 2021 – 28 September 2024,Cabinet reshuffle
N. Kayalvizhi,Human Resources,28 September 2024,5 May 2026,28 September 2024 – 5 May 2026,Government term ended
